id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA	mapA
5513	M1201b	lamb offal or meat	Campylobacter jejuni	2	1	12	3	447	1	5	
5514	M911a	lamb offal or meat	Campylobacter jejuni	10	1	16	19	448	5	7	
5515	S128a	farm environment	Campylobacter jejuni	33	283	16	82	6	3	17	
5516	S219a	farm environment	Campylobacter jejuni	1	317	2	2	6	3	17	
5517	S222b	farm environment	Campylobacter jejuni	239	27	16	19	10	5	7	
5518	S62b	farm environment	Campylobacter jejuni	1	4	2	348	6	3	17	
5519	W186a	environmental waters	Campylobacter jejuni	175	6	5	282	261	7	262	
5520	W338a	environmental waters	Campylobacter jejuni	175	318	216	282	359	293	102	
5521	W87b	environmental waters	Campylobacter jejuni	4	319	10	4	1	7	1	
5522	001A-0005	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5523	001A-0016	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5524	001A-0017	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5525	001A-0022	human stool	Campylobacter jejuni	7	17	2	15	23	3	12	
5526	001A-0027	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5527	001A-0040	human stool	Campylobacter jejuni	10	2	107	137	120	76	1	
5528	001A-0058	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5529	001A-0059	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5530	001A-0060	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5531	001A-0062	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5532	001A-0064	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5533	001A-0065	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5534	001A-0067	human stool	Campylobacter jejuni	3	1	5	84	11	11	6	
5535	001A-0069	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5536	001A-0071	human stool	Campylobacter jejuni	2	1	1	3	2	1	3	
5537	001A-0075	human stool	Campylobacter jejuni	7	2	5	2	10	3	6	
5538	001A-0077	human stool	Campylobacter jejuni	2	1	1	3	140	3	5	
5539	001A-0078	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5540	001A-0080	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5541	001A-0081	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5542	001A-0083	human stool	Campylobacter jejuni	12	6	137	176	40	32	3	
5543	001A-0084	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5544	001A-0085	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5545	001A-0086	human stool	Campylobacter jejuni	8	17	5	2	10	59	6	
5546	001A-0087	human stool	Campylobacter jejuni	2	1	1	2	7	1	5	
5547	001A-0088	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5548	001A-0089	human stool	Campylobacter jejuni	9	2	4	62	4	5	17	
5549	001A-0092	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5550	001A-0093	human stool	Campylobacter jejuni	8	2	5	53	11	3	1	
5551	001A-0094	human stool	Campylobacter jejuni	7	17	5	2	11	3	6	
5552	001A-0096	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5553	001A-0099	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5554	001A-0100	human stool	Campylobacter jejuni	9	2	4	62	4	5	17	
5555	001A-0101	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5556	001A-0102	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5557	001A-0103	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5558	001A-0104	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5559	001A-0105	human stool	Campylobacter jejuni	7	2	5	53	11	3	1	
5560	001A-0106	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5561	001A-0107	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5562	001A-0108	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5563	001A-0113	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5564	001A-0114	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5565	001A-0115	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5566	001A-0116	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5567	001A-0117	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5568	001A-0119	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5569	001A-0122	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5570	001A-0126	human stool	Campylobacter jejuni	4	7	10	4	121	10	1	
5571	001A-0128	human stool	Campylobacter jejuni	1	2	3	27	5	9	3	
5572	001A-0129	human stool	Campylobacter jejuni	1	2	3	3	5	9	3	
5573	001A-0130	human stool	Campylobacter jejuni	2	4	1	4	19	1	5	
5574	001A-0137	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5575	001A-0139	human stool	Campylobacter jejuni	1	2	3	27	5	9	3	
5576	001A-0143	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5577	001A-0144	human stool	Campylobacter jejuni	47	55	5	10	11	48	8	
5578	001A-0146	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5579	001A-0147	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5580	001A-0148	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5581	001A-0149	human stool	Campylobacter jejuni	2	1	1	3	140	3	5	
5582	001A-0151	human stool	Campylobacter jejuni	7	17	5	10	2	177	6	
5583	001A-0159	human stool	Campylobacter jejuni	4	7	10	4	121	10	1	
5584	001A-0161	human stool	Campylobacter jejuni	3	1	5	84	11	11	6	
5585	001A-0162	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5586	001A-0163	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5587	001A-0164	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5588	001A-0165	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5589	001A-0166	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5590	001A-0167	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5591	001A-0168	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5592	001A-0169	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5593	001A-0172	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5594	001A-0174	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5595	001A-0175	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5596	001A-0178	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5597	001A-0182	human stool	Campylobacter jejuni	1	2	3	3	5	9	3	
5598	001A-0183	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5599	001A-0184	human stool	Campylobacter jejuni	10	1	59	19	10	5	7	
5600	001A-0185	human stool	Campylobacter jejuni	10	2	50	62	91	73	45	
5601	001A-0186	human stool	Campylobacter jejuni	9	30	2	2	89	59	6	
5602	001A-0190	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5603	001A-0191	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5604	001A-0195	human stool	Campylobacter jejuni	7	17	5	2	10	3	5	
5605	001A-0198	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5606	001A-0201	human stool	Campylobacter jejuni	8	2	5	53	11	3	1	
5607	001A-0221	human stool	Campylobacter jejuni	9	25	2	10	22	3	6	
5608	001A-0236	human stool	Campylobacter jejuni	8	2	5	53	11	3	1	
5609	001A-0238	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5610	001A-0239	human stool	Campylobacter jejuni	10	27	16	19	10	5	7	
5611	001A-0240	human stool	Campylobacter jejuni	7	4	5	2	13	3	26	
5612	001A-0241	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5613	001A-0242	human stool	Campylobacter jejuni	7	17	5	2	11	3	6	
5614	001A-0243	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5615	001A-0244	human stool	Campylobacter jejuni	2	1	2	3	2	1	5	
5616	001A-0245	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5617	001A-0246	human stool	Campylobacter jejuni	2	1	1	3	2	1	6	
5618	001A-0247	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5619	001A-0248	human stool	Campylobacter jejuni	10	1	59	19	10	5	7	
5620	001A-0249	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5621	001A-0250	human stool	Campylobacter jejuni	2	1	137	3	2	1	5	
5622	001A-0251	human stool	Campylobacter jejuni	3	2	5	10	11	11	6	
5623	001A-0257	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5624	001A-0259	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5625	001A-0260	human stool	Campylobacter jejuni	7	17	2	15	23	3	12	
5626	001A-0261	human stool	Campylobacter jejuni	2	1	6	3	2	1	5	
5627	001A-0262	human stool	Campylobacter jejuni	3	2	5	10	11	11	6	
5628	001A-0263	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5629	001A-0265	human stool	Campylobacter jejuni	2	1	6	3	2	1	5	
5630	001A-0266	human stool	Campylobacter jejuni	9	25	2	10	22	3	6	
5631	001A-0267	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5632	001A-0268	human stool	Campylobacter jejuni	7	17	5	2	224	3	6	
5633	001A-0270	human stool	Campylobacter jejuni	1	2	3	3	5	9	3	
5634	001A-0271	human stool	Campylobacter jejuni	1	4	2	2	6	3	17	
5635	001A-0273	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5636	001A-0274	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5637	001A-0275	human stool	Campylobacter jejuni	2	4	1	2	7	1	5	
5638	001A-0276	human stool	Campylobacter jejuni	7	17	5	10	11	61	1	
5639	001A-0280	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5640	001A-0281	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5641	001A-0282	human stool	Campylobacter jejuni	2	1	1	3	2	1	6	
5642	001A-0283	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5643	001A-0284	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5644	001A-0286	human stool	Campylobacter jejuni	7	2	5	2	156	3	6	
5645	001A-0287	human stool	Campylobacter jejuni	8	2	5	53	11	3	105	
5646	001A-0290	human stool	Campylobacter jejuni	2	1	1	3	2	1	5	
5647	001A-0292	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5648	001A-0293	human stool	Campylobacter jejuni	1	6	22	24	12	28	1	
5649	001A-0294	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5650	001A-0295	human stool	Campylobacter jejuni	7	17	5	2	224	3	6	
5651	001A-0297	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5652	001A-0298	human stool	Campylobacter jejuni	7	17	5	2	10	3	6	
5653	001A-0315	human stool	Campylobacter jejuni	4	7	10	4	1	7	1	
5654	001B-0003	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
5655	001B-0007	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5656	001B-0008	chicken offal or meat	Campylobacter jejuni	7	17	5	2	10	3	6	
5657	001B-0009	chicken offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
5658	001B-0010	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5659	001B-0011	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5660	001B-0012	chicken offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
5661	001B-0013	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
5662	001B-0014	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
5663	001B-0018	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5664	001B-0019	chicken offal or meat	Campylobacter jejuni	7	2	5	2	156	3	6	
5665	001B-0021	chicken offal or meat	Campylobacter jejuni	4	7	10	4	121	10	1	
5666	001B-0022	chicken offal or meat	Campylobacter jejuni	7	2	5	53	11	3	1	
5667	001B-0023	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5668	001B-0024	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5669	001B-0025	chicken offal or meat	Campylobacter jejuni	4	17	10	4	1	7	1	
5670	001B-0026	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5671	001B-0027	chicken offal or meat	Campylobacter jejuni	4	7	10	4	42	51	1	
5672	001B-0028	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5673	001B-0029	chicken offal or meat	Campylobacter jejuni	8	2	5	53	11	3	105	
5674	001B-0030	chicken offal or meat	Campylobacter jejuni	1	3	6	4	3	3	3	
5675	001B-0032	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5676	001B-0033	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5677	001B-0034	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
5678	001B-0035	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
5679	001B-0036	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5680	001B-0037	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
5681	001B-0039	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	3	
5682	001B-0041	chicken offal or meat	Campylobacter jejuni	7	17	12	2	10	3	6	
5683	001B-0042	chicken offal or meat	Campylobacter jejuni	1	2	3	27	5	9	3	
5684	001B-0045	chicken offal or meat	Campylobacter jejuni	3	1	5	84	11	11	6	
5685	001B-0046	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
5686	001B-0047	chicken offal or meat	Campylobacter jejuni	4	7	10	4	42	7	1	
5687	001B-0049	chicken offal or meat	Campylobacter jejuni	17	2	8	5	8	2	4	
5688	001B-0050	chicken offal or meat	Campylobacter jejuni	2	4	1	2	7	1	5	
5689	001B-0051	chicken offal or meat	Campylobacter jejuni	4	17	10	4	1	7	1	
5690	001B-0052	chicken offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
5691	001B-0053	chicken offal or meat	Campylobacter jejuni	7	17	5	10	11	61	1	
5692	001B-0054	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5693	001B-0055	chicken offal or meat	Campylobacter jejuni	8	2	5	53	11	3	105	
5694	001B-0056	chicken offal or meat	Campylobacter jejuni	8	2	5	53	11	3	105	
5695	001B-0057	chicken offal or meat	Campylobacter jejuni	8	2	5	53	11	3	105	
5696	001B-0059	chicken offal or meat	Campylobacter jejuni	7	2	5	53	11	3	1	
5697	001B-0060	chicken offal or meat	Campylobacter jejuni	2	1	1	3	2	1	5	
5698	001B-0061	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5699	001B-0063	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5700	006A-0001	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5701	006A-0004	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5702	006A-0005	cows milk	Campylobacter jejuni	4	7	10	4	1	7	1	
5703	006A-0006	cows milk	Campylobacter jejuni	1	3	6	4	3	3	3	
5704	006A-0007	cows milk	Campylobacter jejuni	2	7	1	3	2	1	5	
5705	006A-0009	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5706	006A-0010	cows milk	Campylobacter jejuni	4	7	10	4	1	7	1	
5707	006A-0011	cows milk	Campylobacter jejuni	2	1	1	3	2	1	3	
5708	006A-0012	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5709	006A-0013	cows milk	Campylobacter jejuni	2	1	1	3	2	1	3	
5710	006A-0014	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5711	006A-0015	cows milk	Campylobacter jejuni	4	7	140	4	1	7	1	
5712	006A-0016	cows milk	Campylobacter jejuni	4	7	140	4	1	7	1	
5713	006A-0017	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5714	006A-0018	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5715	006A-0019	cows milk	Campylobacter jejuni	1	6	22	24	12	28	1	
5716	006A-0020	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5717	006A-0021	cows milk	Campylobacter jejuni	4	7	140	4	1	7	1	
5718	006A-0022	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5719	006A-0023	cows milk	Campylobacter jejuni	2	1	12	3	2	1	5	
5720	006A-0024	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5721	006A-0025	cows milk	Campylobacter jejuni	7	2	5	2	10	3	6	
5722	006A-0026	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5723	006A-0027	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5724	006A-0028	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5725	006A-0029	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5726	006A-0030	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5727	006A-0031	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5728	006A-0032	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5729	006A-0033	cows milk	Campylobacter jejuni	2	1	1	3	2	1	5	
5730	006A-0034	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5731	006A-0035	cows milk	Campylobacter jejuni	1	4	2	2	6	3	17	
5732	006A-0036	cows milk	Campylobacter jejuni	2	1	1	3	140	3	5	
5733	007A-0004	environmental waters	Campylobacter jejuni	1	4	2	2	6	3	17	
5734	007A-0008	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5735	007A-0011	environmental waters	Campylobacter jejuni	1	6	29	2	40	32	3	
5736	007A-0016	environmental waters	Campylobacter jejuni	2	59	4	27	126	29	23	
5737	007A-0017	environmental waters	Campylobacter jejuni	18	22	22	97	115	175	47	
5738	007A-0018	environmental waters	Campylobacter jejuni	2	1	1	3	2	1	5	
5739	007A-0019	environmental waters	Campylobacter jejuni	27	33	22	49	43	9	31	
5740	007A-0023	environmental waters	Campylobacter jejuni	4	7	10	4	1	7	1	
5741	007A-0028	environmental waters	Campylobacter jejuni	1	6	61	176	40	180	1	
5742	007A-0029	environmental waters	Campylobacter jejuni	1	6	61	176	40	180	1	
5743	007A-0030	environmental waters	Campylobacter jejuni	4	7	10	4	1	7	1	
5744	007A-0031	environmental waters	Campylobacter jejuni	2	1	1	3	2	1	5	
5745	007A-0032	environmental waters	Campylobacter jejuni	4	7	10	4	1	7	1	
5746	007A-0038	environmental waters	Campylobacter jejuni	1	6	61	176	40	180	1	
5747	007A-0042	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5748	007A-0043	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5749	007A-0045	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5750	007A-0046	environmental waters	Campylobacter jejuni	1	6	61	176	40	180	1	
5751	007A-0048	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5752	007A-0049	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5753	007A-0050	environmental waters	Campylobacter jejuni	2	59	4	27	126	29	23	
5754	007A-0055	environmental waters	Campylobacter jejuni	4	7	10	4	1	7	1	
5755	007A-0056	environmental waters	Campylobacter jejuni	4	7	10	4	1	7	1	
5756	007A-0065	environmental waters	Campylobacter jejuni	10	33	22	49	43	82	31	
5757	153B-0049	human unspecified	Campylobacter jejuni	2	1	1	3	2	1	5	
5758	153B-0050	human unspecified	Campylobacter jejuni	7	17	5	2	10	3	6	
5759	153B-0056	human unspecified	Campylobacter jejuni	10	27	16	19	10	5	7	
5760	160B-0003	human unspecified	Campylobacter jejuni	3	1	5	17	11	11	6	
5761	W76c	environmental waters	Campylobacter jejuni	27	8	34	6	39	88	3	
5762	T565	chicken	Campylobacter jejuni	37	52	57	26	129	29	1	
5763	1788	chicken	Campylobacter jejuni	4	7	260	4	1	7	1	
5764	76296	human stool	Campylobacter jejuni	64	83	112	100	134	103	16	
5765	76336	human stool	Campylobacter jejuni	4	7	50	4	1	7	1	
5766	35260	chicken	Campylobacter jejuni	2	10	5	37	2	1	5	
5767	76605	human stool	Campylobacter jejuni	2	1	2	3	19	68	6	
5768	76906	human stool	Campylobacter jejuni	14	4	1	3	19	1	5	
5769	30184	chicken offal or meat	Campylobacter jejuni	7	17	79	2	10	3	6	
5770	32475	chicken offal or meat	Campylobacter jejuni	9	25	2	3	22	3	6	
5771	C5479	pig	Campylobacter coli	33	39	30	174	113	47	17	
5772	C5745	pig	Campylobacter coli	33	153	30	82	104	295	17	
5773	C6005	pig	Campylobacter coli	33	160	44	82	118	43	36	
5774	C6356	pig	Campylobacter coli	33	39	30	82	104	173	17	
5775	C3876	pig	Campylobacter coli	33	38	30	82	104	363	17	
5776	C4141	pig	Campylobacter coli	33	39	30	82	104	35	263	
5777	C5702	pig	Campylobacter coli	33	39	30	82	113	364	17	
5778	972100	human stool	Campylobacter jejuni	2	1	52	89	2	1	5	
5779	973893	human stool	Campylobacter jejuni	2	4	5	2	114	1	5	
5780	974104	human stool	Campylobacter jejuni	67	2	42	2	3	40	3	
5781	974485	human stool	Campylobacter jejuni	1	4	2	2	42	3	17	
5782	974747	human stool	Campylobacter jejuni	4	2	4	4	4	51	6	
5783	974833	human stool	Campylobacter jejuni	4	7	10	87	42	7	1	
5784	974929	human stool	Campylobacter jejuni	8	1	6	2	2	1	1	
5785	975053	human stool	Campylobacter jejuni	10	81	50	87	2	76	52	
5786	g140	chicken	Campylobacter coli	129	39	30	82	113	56	17	
5787	g144	chicken	Campylobacter coli	129	39	30	82	113	47	17	
5788	g186	chicken	Campylobacter coli	129	39	65	82	104	365	17	
5789	S340b	farm environment	Campylobacter jejuni	1	14	2	2	6	1	5	
5790	T84	chicken	Campylobacter jejuni	79	15	4	48	360	25	23	
5791	W414b	environmental waters	Campylobacter jejuni	33	283	44	82	189	44	1	
5792	N27	environmental waters	Campylobacter jejuni	1	6	216	282	261	346	3	
5793	N28	environmental waters	Campylobacter jejuni	1	6	5	332	261	293	3	
5794	NIZP-PZH 82/06	human stool	Campylobacter jejuni	2	1	12	9	2	1	25	
5795	NIZP-PZH 92/06	human stool	Campylobacter jejuni	2	1	12	9	2	1	25	
5796	NIZP-PZH 124/07	human stool	Campylobacter jejuni	9	1	4	6	4	5	1	
5797	NIZP-PZH 125/07	human stool	Campylobacter jejuni	9	1	4	6	4	5	1	
5798	NIZP-PZH 76/07	human stool	Campylobacter jejuni	4	44	10	1	1	7	1	
5799	NIZP-PZH 82/07	human stool	Campylobacter jejuni	4	44	10	1	1	7	1	
5800	08-7038	human stool	Campylobacter jejuni	7	2	5	2	74	3	6	
5801	07-4428	human stool	Campylobacter jejuni	1	1	2	2	225	3	5	
5802	08-6315	human stool	Campylobacter jejuni	2	21	1	2	7	1	5	
5803	08-0938	human stool	Campylobacter jejuni	2	1	2	10	2	1	5	
5804	08-5288	human stool	Campylobacter coli	33	38	30	79	104	64	17	
5805	cco002	pig	Campylobacter coli	33	38	30	167	104	44	36	
5806	cco004	pig	Campylobacter coli	53	321	44	82	104	35	36	
5807	cco005	pig	Campylobacter coli	33	38	30	78	104	44	36	
5808	cco010	pig	Campylobacter coli	33	322	30	173	104	35	68	
5809	cco020	cattle	Campylobacter jejuni	33	39	30	78	104	43	17	
5810	cco025	cattle	Campylobacter jejuni	33	39	30	78	104	43	17	
5811	cco037	cattle	Campylobacter jejuni	33	39	44	82	104	44	17	
5812	cco049	cattle	Campylobacter coli	33	153	30	78	104	43	17	
5813	cco071	human unspecified	Campylobacter coli	33	110	103	350	188	368	265	
5814	cco076	human unspecified	Campylobacter coli	33	176	30	82	451	43	17	
5815	cco081	human unspecified	Campylobacter coli	33	39	261	79	104	64	17	
5816	cco087	human unspecified	Campylobacter coli	33	39	30	79	452	43	17	
5817	cco103	turkey	Campylobacter coli	33	39	30	140	189	43	41	
5818	cco111	turkey	Campylobacter coli	33	39	103	82	104	324	41	
5819	cco114	turkey	Campylobacter coli	241	39	262	82	113	56	17	
5820	001A-0387	human stool	Campylobacter jejuni	8	10	2	2	23	3	12	
5821	001A-0412	human stool	Campylobacter jejuni	2	1	1	3	5	9	3	
5822	001A-0441	human stool	Campylobacter jejuni	7	2	52	2	10	48	6	
5823	001A-0459	human stool	Campylobacter jejuni	2	1	1	15	2	1	5	
5824	001A-0495	human stool	Campylobacter jejuni	73	266	2	10	86	3	6	
5825	001A-0517	human stool	Campylobacter jejuni	7	17	5	2	10	67	6	
5826	001A-0519	human stool	Campylobacter jejuni	1	2	3	53	5	9	3	
5827	001B-0067	chicken offal or meat	Campylobacter jejuni	9	33	2	2	89	59	6	
5828	001B-0087	chicken offal or meat	Campylobacter jejuni	24	33	2	2	89	59	6	
