id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
52311	H1341	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52312	H1342	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52313	H1344	human stool	Campylobacter jejuni	1	45	2	4	6	3	17
52314	H1345	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52315	H1346	human stool	Campylobacter jejuni	1	2	4	62	4	5	17
52316	H1347	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52317	H1348	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52318	H135	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52319	H1350	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52320	H1351	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52321	H1352	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52322	H1353	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52323	H1354	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52324	H1355	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52325	H1356	human stool	Campylobacter jejuni	1	2	215	4	90	24	8
52326	H1357	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52327	H1360	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52328	H1362	human stool	Campylobacter jejuni	2	1	5	3	2	5	5
52329	H1363	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52330	H1365	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52331	H1366	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52332	H1367	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52333	H1368	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52334	H1369	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52335	H137	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52336	H1370	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52337	H1372	human stool	Campylobacter jejuni	2	4	5	2	2	1	5
52338	H1373	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52339	H1374	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52340	H1375	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52341	H1377	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52342	H1381	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52343	H1382	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52344	H1383	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52345	H1385	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52346	H1386a	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52347	H1387	human stool	Campylobacter jejuni	9	2	4	62	4	5	3
52348	H1388	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52349	H1392	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
52350	H1393	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52351	H1395	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52352	H1396	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52353	H1397	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52354	H1398	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52355	H1399	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52356	H140	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52357	H1400	human stool	Campylobacter jejuni	2	1	5	88	2	11	5
52358	H1402	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52359	H1403	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52360	H1404	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
52361	H1405	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52362	H1406	human stool	Campylobacter jejuni	2	1	5	88	2	11	5
52363	H1407	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52364	H1408	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52365	H1410	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52366	H1411	human stool	Campylobacter jejuni	7	17	2	15	23	3	12
52367	H1412	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52368	H1414	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52369	H1417	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52370	H1419	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52371	H142	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52372	H1422	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52373	H1423	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
52374	H1424	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52375	H1426	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52376	H1427	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52377	H1428	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52378	H143	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52379	H1431	human stool	Campylobacter jejuni	2	1	5	3	2	5	5
52380	H1432	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52381	H1433	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52382	H1434	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52383	H1435	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52384	H1436	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52385	H1437	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52386	H1438	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52387	H1439	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52388	H144	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52389	H1442	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52390	H1444	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52391	H1446	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52392	H1448	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52393	H1449	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52394	H145	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52395	H1450	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52396	H1451	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52397	H1453	human stool	Campylobacter jejuni	4	7	10	1	1	7	1
52398	H1459	human stool	Campylobacter jejuni	239	27	16	19	10	5	7
52399	H1460	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52400	H1461	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52401	H1462	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52402	H1463	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52403	H1466	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52404	H1468	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52405	H1469	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52406	H146a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52407	H1470	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52408	H1472	human stool	Campylobacter jejuni	2	4	1	3	2	1	5
52409	H1475	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52410	H1476	human stool	Campylobacter jejuni	2	1	1	380	2	1	5
52411	H1477	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52412	H148	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52413	H1480	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52414	H1481	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52415	H1484	human stool	Campylobacter jejuni	7	71	5	62	11	67	1
52416	H1485	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52417	H1487	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52418	H1488	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52419	H1489	human stool	Campylobacter jejuni	2	1	1	380	2	1	5
52420	H149	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52421	H1490	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52422	H1492	human stool	Campylobacter jejuni	1	14	2	2	6	1	17
52423	H1494	human stool	Campylobacter jejuni	1	2	4	62	4	5	17
52424	H1496	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52425	H1497	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52426	H1499a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52427	H1499b	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52428	H15	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52429	H150	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52430	H1501	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52431	H1502	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52432	H1503	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52433	H1505	human stool	Campylobacter jejuni	10	2	107	62	120	76	1
52434	H1506	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52435	H1507a	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52436	H1507b	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52437	H1508a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52438	H1508b	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52439	H1509	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52440	H1510	human stool	Campylobacter jejuni	1	307	3	4	5	9	3
52441	H1511	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52442	H1513	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52443	H1514	human stool	Campylobacter jejuni	7	2	5	2	10	3	6
52444	H1516	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52445	H1518	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
52446	H1519	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52447	H152	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52448	H1520	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52449	H1522	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52450	H1523	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52451	H1524	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52452	H1525	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52453	H1526	human stool	Campylobacter jejuni	2	1	57	26	127	29	35
52454	H1527	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52455	H1528	human stool	Campylobacter jejuni	2	1	57	26	127	29	35
52456	H1529	human stool	Campylobacter jejuni	2	4	2	4	19	3	6
52457	H153	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
52458	H1530	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52459	H1531	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52460	H1532	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52461	H1533	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52462	H1534b	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52463	H1536a	human stool	Campylobacter jejuni	10	27	16	553	10	5	7
52464	H1536b	human stool	Campylobacter jejuni	10	27	16	553	10	5	7
52465	H1537a	human stool	Campylobacter jejuni	1	14	2	2	6	1	17
52466	H1538a	human stool	Campylobacter jejuni	1	6	60	24	12	28	1
52467	H1538b	human stool	Campylobacter jejuni	1	6	60	24	12	28	1
52468	H1539a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52469	H1539b	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52470	H154	human stool	Campylobacter jejuni	4	7	10	1	1	7	1
52471	H1540a	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52472	H1540b	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52473	H1543a	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52474	H1544a	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52475	H1546	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52476	H1547	human stool	Campylobacter jejuni	47	2	4	2	6	5	17
52477	H1548	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52478	H155	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52479	H1550	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52480	H1551	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52481	H1552	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52482	H1555	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52483	H1556	human stool	Campylobacter jejuni	2	1	21	3	62	1	5
52484	H1558	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52485	H1559	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52486	H156	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52487	H1560	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52488	H1561	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52489	H1562	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52490	H1563	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52491	H1565	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52492	H1566	human stool	Campylobacter jejuni	1	307	3	4	5	9	3
52493	H1567a	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52494	H1567b	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52495	H1568	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52496	H1569a	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52497	H1569b	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52498	H157	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52499	H1570	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52500	H1571	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52501	H1572a	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52502	H1572b	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52503	H1574a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52504	H1575	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52505	H1576	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52506	H1579	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52507	H1580	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52508	H1584	human stool	Campylobacter jejuni	4	7	10	1	1	7	1
52509	H1585	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52510	H1586	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
52511	H1587	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52512	H1589a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52513	H1589b	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52514	H1590b	human stool	Campylobacter jejuni	1	4	2	9	6	3	17
52515	H1592	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52516	H1594	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52517	H1595	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52518	H1596	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52519	H1598	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52520	H16	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52521	H1600	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52522	H1602	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52523	H1603	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52524	H1610	human stool	Campylobacter jejuni	2	1	5	3	2	5	5
52525	H1611	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52526	H1613	human stool	Campylobacter jejuni	4	596	10	4	1	7	1
52527	H1615	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52528	H1616	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52529	H1617	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
52530	H1623a	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52531	H1624	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52532	H1625	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52533	H1626	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52534	H1627	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52535	H1629	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52536	H1631	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52537	H1632	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52538	H1633	human stool	Campylobacter jejuni	188	313	5	2	89	5	6
52539	H1634	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52540	H1637	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52541	H1639	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52542	H163b	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52543	H164	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52544	H1642	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52545	H1645	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52546	H1646	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52547	H1648	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52548	H1650a	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52549	H1650b	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52550	H1651	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52551	H1653	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52552	H1654	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52553	H1659	human stool	Campylobacter jejuni	239	27	16	19	10	5	7
52554	H1660	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52555	H167	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52556	H1673	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52557	H1675	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52558	H1676	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52559	H1677	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52560	H1678	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52561	H1679	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52562	H168	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52563	H1681	human stool	Campylobacter jejuni	2	7	10	4	1	7	1
52564	H1687	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52565	H169	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52566	H1691	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52567	H1693	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52568	H1697	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52569	H170	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52570	H171	human stool	Campylobacter jejuni	4	7	10	1	1	7	1
52571	H1710	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52572	H1714a	human stool	Campylobacter jejuni	1	4	2	2	6	5	17
52573	H1715a	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52574	H1716a	human stool	Campylobacter jejuni	1	4	2	2	6	5	17
52575	H1718a	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52576	H172	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52577	H1721a	human stool	Campylobacter jejuni	1	2	4	62	4	5	17
52578	H1721c	human stool	Campylobacter jejuni	1	3	6	4	3	3	3
52579	H1722a	human stool	Campylobacter jejuni	1	307	3	4	5	9	3
52580	H1723a	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52581	H1724a	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52582	H1726a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52583	H1728a	human stool	Campylobacter jejuni	2	1	2	3	2	3	5
52584	H1729a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52585	H173	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52586	H1730a	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52587	H1732a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52588	H1737a	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52589	H1739a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52590	H174	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52591	H1745a	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52592	H1746a	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52593	H1747a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52594	H1749sw	human stool	Campylobacter jejuni	7	17	5	10	11	3	6
52595	H1750a	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52596	H1751a	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52597	H1752a	human stool	Campylobacter jejuni	7	17	5	2	10	3	6
52598	H1753a	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52599	H1755a	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52600	H1756a	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52601	H1757	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52602	H176	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52603	H1760	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52604	H1762sw	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52605	H1763	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52606	H1765	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52607	H1768a	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52608	H1768b	human stool	Campylobacter jejuni	2	1	5	3	2	5	5
52609	H1770	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52610	H1771	human stool	Campylobacter jejuni	10	27	16	19	10	5	7
52611	H1772	human stool	Campylobacter jejuni	180	194	2	68	19	231	147
52612	H1773	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52613	H1775	human stool	Campylobacter jejuni	2	1	5	3	2	5	5
52614	H1776	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52615	H1777	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52616	H1781	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52617	H1782	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
52618	H1784	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52619	H1786	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52620	H1787	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52621	H1789	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52622	H179	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52623	H1790	human stool	Campylobacter jejuni	8	10	149	2	11	12	6
52624	H1792	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52625	H1794	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
52626	H1795	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52627	H1796	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52628	H1798	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52629	H1799	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52630	H180	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52631	H1800	human stool	Campylobacter jejuni	2	1	12	88	2	1	5
52632	H1802	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52633	H1803a	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52634	H1803b	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52635	H1804	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52636	H1806	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52637	H1807	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52638	H1809	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52639	H181	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
52640	H1810	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52641	H1811	human stool	Campylobacter jejuni	2	4	5	2	2	5	5
52642	H1813	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52643	H1814	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52644	H1815	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52645	H1817	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52646	H1818	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52647	H1820	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52648	H1821	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52649	H1823	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52650	H1825	human stool	Campylobacter jejuni	7	21	5	62	4	61	44
52651	H1827	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52652	H1829	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52653	H183	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52654	H1831	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
52655	H1832	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52656	H1833	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52657	H1834	human stool	Campylobacter jejuni	2	1	5	3	2	3	5
52658	H1835	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52659	H1837	human stool	Campylobacter jejuni	10	1	16	19	10	5	7
52660	H1838	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52661	H184	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52662	H1840	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
52663	H1841	human stool	Campylobacter jejuni	1	4	2	2	6	3	17
52664	H1843	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
52665	H1844	human stool	Campylobacter jejuni	4	7	10	4	42	25	1
52666	H1846	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52667	H1847	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52668	H1848	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52669	H1849	human stool	Campylobacter jejuni	4	7	10	4	42	7	1
52670	H1850	human stool	Campylobacter jejuni	10	27	16	19	10	5	7
52671	H1851	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52672	H1854	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52673	H1855	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52674	H1856	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52675	H1857	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52676	H186	human stool	Campylobacter jejuni	2	4	1	2	2	1	5
52677	H1860	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52678	H1861	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52679	H1862	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52680	H1863	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52681	H1864	human stool	Campylobacter jejuni	8	10	2	2	11	12	6
52682	H1866	human stool	Campylobacter jejuni	2	1	21	3	2	1	5
52683	H1867	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52684	H1868	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52685	H187	human stool	Campylobacter jejuni	2	4	1	2	7	1	5
52686	H1870	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52687	H1872	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52688	H1874	human stool	Campylobacter jejuni	10	81	50	99	120	76	52
52689	H1875	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52690	H1876	human stool	Campylobacter jejuni	9	2	4	62	4	5	6
52691	H1877	human stool	Campylobacter jejuni	4	7	10	4	1	7	1
52692	H1878	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
52693	H1879	human stool	Campylobacter jejuni	1	14	2	2	6	1	17
52694	H188	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52695	H1880	human stool	Campylobacter jejuni	2	4	2	2	6	1	5
52696	H1881	human stool	Campylobacter jejuni	4	7	10	4	42	51	1
52697	H1882	human stool	Campylobacter jejuni	10	2	107	62	120	76	1
